# charactristic, type, id, mat1, mat2, tmat, weight, delta
d8524022ed8dff4a8dcc50c798faba43,32,0,8f7011ee,fc78ff1f,3793fdff,63,0
8ee476cb10b7c7e20dd10725924e9877,32,0,877810ef,fc38ff0f,c7fb7fff,63,0
8331a00cb24d95a8e116e35435103213,32,0,837c106f,fc18ff07,eeb9bdff,51,0
bc8ca81cb620b9610108b0fa2036f9ef,32,0,718e0e31,fb88fee3,11dbffff,57,0
97d57e00bc69e5ca2b9a5041d979eaff,32,0,50af0a15,fa80fea1,9ddc99ff,69,1
9548039aecf5d2636f59a3839312db73,32,0,14eb029d,f8a0fe29,46f3ebff,65,0
d0bf7b50aacb1427fbf1df22d056dccb,32,0,0bf4017e,f858fe17,e8cfecfd,71,1
c6c36866685b22bf45f4f9b8c1157c27,32,0,09f6013e,f848fe13,52a0f5ff,65,0
bf9deb420e0b6a6e9d654c6d6b070c5b,32,0,e51b1ca3,f720fdc9,f8ebffff,67,0
fdcab307613d53f7e7beced73a9bbf0f,32,0,ab55156a,f550fd55,6f33bd7f,81,0
a9e690ecff134aee4f8fc878ed1a61eb,32,0,946a128d,f4a8fd2b,feac77ff,71,0
acdbcdf98687829ae53fc5a1b5a9e48b,32,0,817f102f,f400fd01,90dbc3ff,69,0
ae4300c34a33c46091b6502e48839c8b,32,0,50ae0a15,f288fca3,dd2c73ff,51,0
cd3f104a97361addafa48acac288ef1b,32,0,19e7033c,f0c0fc31,55e7fd7d,65,0
de7e5e692c32e431bb11a1898b78ca97,32,0,0ef001de,f078fc1f,3ccef3ff,65,0
ca181f00100f6a498d29a2bf6e1f09bf,32,0,e9141d22,ef58fbd7,ff3f3edf,59,0
93e1ea2c2cdb211ac9df40611ec07d3f,32,0,d22f1a45,ee80fba1,90a5ffff,63,0
b7f0976dd4f418524b49b7690abaf5c7,32,0,b34e1669,ed88fb63,6f6e75ff,69,0
e3dcb4864ada014be378b1c6dd3b2b23,32,0,8c71118e,ec70fb1d,97eeff7f,65,0
9443129baa73b98c7b097ab82c074d03,32,0,65980cb3,eb38facf,cc3b75ff,59,0
